[2026/08/24 22:08:56] Success (CreateExcel) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv
[2026/08/24 22:11:45] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,33,20260824,22:11:45,,,,,,Standby,99,等待中
[2026/08/24 22:11:50] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,44,2026/08/24,22:11:50,停止中
[2026/08/24 22:11:50] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,34,20260824,22:11:50,,,,,,Quit,100,停止中
[2026/08/24 22:11:53] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,45,2026/08/24,22:11:53,停機故障
[2026/08/24 22:11:58] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,46,2026/08/24,22:11:58,分析中
[2026/08/24 22:11:58] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,35,20260824,22:11:58,,,,,,Working,0,分析中
[2026/08/24 22:12:01] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,47,2026/08/24,22:12:01,等待中
[2026/08/24 22:12:01] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,36,20260824,22:12:01,,,,,,Standby,99,等待中
[2026/08/24 22:12:06] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,48,2026/08/24,22:12:06,停止中
[2026/08/24 22:12:06] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,37,20260824,22:12:06,,,,,,Quit,100,停止中
[2026/08/24 22:12:08] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,49,2026/08/24,22:12:08,停機故障
[2026/08/24 22:12:14] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,50,2026/08/24,22:12:14,分析中
[2026/08/24 22:12:14] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,38,20260824,22:12:14,,,,,,Working,0,分析中
[2026/08/24 22:12:16] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,51,2026/08/24,22:12:16,等待中
[2026/08/24 22:12:16] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,39,20260824,22:12:16,,,,,,Standby,99,等待中
[2026/08/24 22:12:21] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,52,2026/08/24,22:12:21,停止中
[2026/08/24 22:12:21] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,40,20260824,22:12:21,,,,,,Quit,100,停止中
[2026/08/24 22:12:24] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,53,2026/08/24,22:12:24,停機故障
[2026/08/24 22:12:29] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,54,2026/08/24,22:12:29,分析中
[2026/08/24 22:12:29] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,41,20260824,22:12:29,,,,,,Working,0,分析中
[2026/08/24 22:12:35] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,55,2026/08/24,22:12:35,等待中
[2026/08/24 22:12:35] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,42,20260824,22:12:35,,,,,,Standby,99,等待中
[2026/08/24 22:12:37] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,56,2026/08/24,22:12:37,停止中
[2026/08/24 22:12:37] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,43,20260824,22:12:37,,,,,,Quit,100,停止中
[2026/08/24 22:12:43] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,57,2026/08/24,22:12:43,停機故障
[2026/08/24 22:12:45] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,58,2026/08/24,22:12:45,分析中
[2026/08/24 22:12:45] Success : (WriteShowEventCsv) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\ShowData\Event\20260824.csv,44,20260824,22:12:45,,,,,,Working,0,分析中
[2026/08/24 22:12:50] Success : (WriteStatus) => C:\Users\justin\Desktop\新增資料夾 (4)\EagleControl_Native2_CuFe\bin\Debug\CsvData\StatusCsv\20260824.csv,59,2026/08/24,22:12:50,等待中
