[2026/08/31 13:12:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:35] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:53] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:56] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:12:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:01] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:04] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:09] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:17] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:19] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
[2026/08/31 13:13:25] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:True 
